Step,State_Code,State_Name,Duration_Days,Total_Time
200,2,Облачно (2),0.5055,355.038
201,1,Ясно (1),2.1446,357.1826
202,2,Облачно (2),0.1312,357.3138
203,3,Пасмурно (3),4.5011,361.8149
204,2,Облачно (2),0.1516,361.9665
205,3,Пасмурно (3),0.7173,362.6838
206,2,Облачно (2),1.575,364.2588
207,1,Ясно (1),0.85,365.1089
208,2,Облачно (2),0.2562,365.3651
209,3,Пасмурно (3),0.9283,366.2934
210,2,Облачно (2),1.0271,367.3205
211,1,Ясно (1),1.9676,369.2881
212,2,Облачно (2),0.59,369.8781
213,3,Пасмурно (3),2.402,372.2801
214,2,Облачно (2),0.5897,372.8698
215,1,Ясно (1),0.7766,373.6464
216,3,Пасмурно (3),1.4934,375.1398
217,2,Облачно (2),0.4295,375.5693
218,1,Ясно (1),1.4997,377.0689
219,2,Облачно (2),0.6339,377.7029
220,1,Ясно (1),2.137,379.8399
221,2,Облачно (2),0.4551,380.2949
222,3,Пасмурно (3),4.1662,384.4612
223,1,Ясно (1),1.7349,386.1961
224,2,Облачно (2),0.0888,386.2849
225,1,Ясно (1),1.1385,387.4234
226,2,Облачно (2),1.4463,388.8697
227,1,Ясно (1),0.9586,389.8282
228,3,Пасмурно (3),2.2643,392.0926
229,2,Облачно (2),1.3862,393.4787
230,1,Ясно (1),2.6168,396.0955
231,2,Облачно (2),0.9371,397.0325
232,3,Пасмурно (3),0.7076,397.7402
233,2,Облачно (2),0.9314,398.6716
234,3,Пасмурно (3),2.3538,401.0253
235,2,Облачно (2),0.8953,401.9207
236,3,Пасмурно (3),7.0148,408.9355
237,1,Ясно (1),0.75,409.6855
238,3,Пасмурно (3),1.3273,411.0129
239,2,Облачно (2),1.1405,412.1534
240,1,Ясно (1),1.1725,413.3259
241,2,Облачно (2),3.6958,417.0217
242,1,Ясно (1),1.4166,418.4383
243,2,Облачно (2),0.7226,419.1609
244,3,Пасмурно (3),0.7091,419.87
245,2,Облачно (2),4.6477,424.5177
246,3,Пасмурно (3),0.8191,425.3368
247,2,Облачно (2),0.6994,426.0362
248,3,Пасмурно (3),0.2467,426.2828
249,2,Облачно (2),0.0554,426.3382
250,3,Пасмурно (3),2.1596,428.4978
251,1,Ясно (1),4.1117,432.6095
252,3,Пасмурно (3),3.2194,435.8289
253,1,Ясно (1),1.5651,437.3941
254,2,Облачно (2),0.4873,437.8813
255,3,Пасмурно (3),1.4729,439.3542
256,2,Облачно (2),0.1198,439.474
257,3,Пасмурно (3),1.8074,441.2814
258,2,Облачно (2),1.6364,442.9178
259,1,Ясно (1),0.1573,443.0751
260,3,Пасмурно (3),0.115,443.1902
261,2,Облачно (2),0.8622,444.0524
262,3,Пасмурно (3),1.6127,445.6651
263,2,Облачно (2),1.1761,446.8412
264,1,Ясно (1),1.3167,448.1579
265,2,Облачно (2),0.3939,448.5518
266,1,Ясно (1),2.9612,451.513
267,3,Пасмурно (3),4.4031,455.9161
268,2,Облачно (2),1.7878,457.7039
269,3,Пасмурно (3),1.4542,459.1581
270,2,Облачно (2),0.1292,459.2873
271,3,Пасмурно (3),0.4536,459.741
272,2,Облачно (2),0.6431,460.384
273,1,Ясно (1),0.7848,461.1688
274,2,Облачно (2),0.1992,461.368
275,3,Пасмурно (3),0.7848,462.1528
276,2,Облачно (2),1.4349,463.5877
277,1,Ясно (1),1.2864,464.8741
278,3,Пасмурно (3),4.5113,469.3855
279,1,Ясно (1),2.4446,471.8301
280,2,Облачно (2),0.5616,472.3917
281,3,Пасмурно (3),2.1344,474.5261
282,2,Облачно (2),0.3112,474.8373
283,1,Ясно (1),2.0981,476.9354
284,2,Облачно (2),0.7143,477.6497
285,1,Ясно (1),0.4724,478.1222
286,2,Облачно (2),1.5357,479.6578
287,3,Пасмурно (3),1.4926,481.1504
